ts,final_label,rf_label,rf_conf,if_score,route,unsup_verdict,thr_in,thr_out,conf_gate,is_partial,src_ip,src_port,dst_ip,dst_port,latency_ms
1757675872.741558,Benign,Benign,1.000000,0.359411,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,55030,74.125.132.95,443,
1757675876.745944,Benign,Benign,1.000000,0.383951,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,34576,169.254.169.254,80,
1757675876.783600,Benign,Benign,1.000000,0.383951,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,34580,169.254.169.254,80,
1757675881.335717,Benign,Benign,1.000000,0.092769,rf_confident,outlier,0.389098,0.389098,0.750,0,10.128.0.5,51714,142.250.152.95,443,
1757675899.729609,Unknown/Anomaly,Benign,0.690000,0.296097,routed_to_IF_outlier,outlier,0.389098,0.389098,0.750,0,10.128.0.5,22,35.235.244.32,33207,
1757675902.787939,Benign,Benign,1.000000,0.346331,rf_confident,outlier,0.389098,0.389098,0.750,0,35.235.245.128,36155,10.128.0.5,22,
1757675906.756849,Benign,Benign,1.000000,0.225117,rf_confident,outlier,0.379100,0.379100,0.750,1,169.254.169.254,80,10.128.0.5,34576,
1757675906.791719,Benign,Benign,1.000000,0.245054,rf_confident,outlier,0.379100,0.379100,0.750,1,169.254.169.254,80,10.128.0.5,34580,
1757675914.767628,Benign,Benign,1.000000,0.361527,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,42730,74.125.202.95,443,
1757675921.222284,Benign,Benign,0.990000,0.400813,rf_confident,inlier,0.389098,0.389098,0.750,0,103.246.42.72,44114,10.128.0.5,22,
1757675933.602782,Benign,Benign,0.970000,0.293285,rf_confident,outlier,0.389098,0.389098,0.750,0,10.128.0.5,37535,169.254.169.254,53,
1757675933.635374,Benign,Benign,0.970000,0.293285,rf_confident,outlier,0.389098,0.389098,0.750,0,10.128.0.5,50182,169.254.169.254,53,
1757675933.669599,Unknown/Anomaly,Benign,0.660000,0.296677,routed_to_IF_outlier,outlier,0.389098,0.389098,0.750,0,10.128.0.5,37904,185.125.190.80,443,
1757675936.772851,Benign,Benign,1.000000,0.384175,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,34580,169.254.169.254,80,
1757675936.807498,Benign,Benign,1.000000,0.383927,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,34576,169.254.169.254,80,
1757675942.779777,Benign,Benign,1.000000,0.274559,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,68,169.254.169.254,67,
1757675946.780839,Benign,Benign,0.960000,0.178530,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,45948,169.254.169.254,80,
1757675946.817261,Benign,Benign,1.000000,0.389800,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,34641,169.254.169.254,53,
1757675946.849853,Benign,Benign,1.000000,0.389556,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,49375,169.254.169.254,53,
1757675946.882934,Benign,Benign,1.000000,0.351798,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,56784,169.254.169.254,53,
1757675946.917177,Benign,Benign,1.000000,0.352793,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,46058,169.254.169.254,53,
1757675946.948127,Benign,Benign,1.000000,0.120134,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,53398,173.194.206.95,443,
1757675946.969512,Benign,Benign,1.000000,0.380984,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,55750,169.254.169.254,53,
1757675947.001534,Benign,Benign,1.000000,0.347523,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,59139,169.254.169.254,53,
1757675947.022408,Benign,Benign,0.990000,0.351158,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,36853,169.254.169.254,53,
1757675947.053591,Benign,Benign,1.000000,0.350020,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,59341,169.254.169.254,53,
1757675947.085061,Benign,Benign,0.990000,0.338803,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,37763,169.254.169.254,53,
1757675947.116352,Benign,Benign,1.000000,0.325272,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,37608,169.254.169.254,53,
1757675947.150452,Benign,Benign,1.000000,0.348400,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,39931,169.254.169.254,53,
1757675947.182970,Benign,Benign,1.000000,0.348400,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,36609,169.254.169.254,53,
1757675947.213655,Benign,Benign,1.000000,0.342425,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,52422,169.254.169.254,53,
1757675947.245143,Benign,Benign,0.990000,0.342425,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,56771,169.254.169.254,53,
1757675947.279117,Benign,Benign,1.000000,0.369222,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,35073,169.254.169.254,53,
1757675947.312165,Benign,Benign,1.000000,0.389647,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,58140,169.254.169.254,53,
1757675947.398755,Benign,Benign,1.000000,0.392547,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,53858,169.254.169.254,53,
1757675947.433024,Benign,Benign,1.000000,0.391480,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,39207,169.254.169.254,53,
1757675947.466413,Benign,Benign,1.000000,0.379237,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,34761,169.254.169.254,53,
