ingest_ts,decision_ts,latency_ms,route,is_partial,final_label
1757702670001,1757702670214,213,rf_confident,0,Benign
1757702670505,1757702670715,210,rf_confident,0,Benign
1757702671011,1757702671215,204,rf_confident,0,Benign
1757702671516,1757702671716,200,rf_confident,0,Benign
1757702672021,1757702672217,196,rf_confident,0,Benign
1757702672526,1757702672718,192,rf_confident,0,Benign
1757702673031,1757702673218,187,rf_confident,0,Benign
1757702673536,1757702673719,183,rf_confident,0,Benign
1757702674041,1757702674220,179,rf_confident,0,Benign
1757702674546,1757702674721,175,rf_confident,0,Benign
1757702675051,1757702675222,171,rf_confident,0,Benign
1757702675556,1757702675723,167,rf_confident,0,Benign
1757702676061,1757702676223,162,rf_confident,0,Benign
1757702676566,1757702676724,158,rf_confident,0,Benign
1757702677071,1757702677227,156,rf_confident,0,Benign
1757702677576,1757702677727,151,rf_confident,0,Benign
1757702678082,1757702678228,146,rf_confident,0,Benign
1757702678587,1757702678729,142,rf_confident,0,Benign
1757702679092,1757702679230,138,rf_confident,0,Benign
1757702679597,1757702679731,134,rf_confident,0,Benign
1757702680102,1757702680232,130,rf_confident,0,Benign
1757702680608,1757702680732,124,rf_confident,0,Benign
1757702681113,1757702681234,121,rf_confident,0,Benign
1757702681619,1757702681735,116,rf_confident,0,Benign
1757702682124,1757702682237,113,rf_confident,0,Benign
1757702682629,1757702682738,109,rf_confident,0,Benign
1757702683134,1757702683239,105,rf_confident,0,Benign
1757702685000,1757702685245,245,rf_confident,0,Benign
1757702685505,1757702685746,241,rf_confident,0,Benign
1757702686010,1757702686247,237,rf_confident,0,Benign
1757702686515,1757702686747,232,rf_confident,0,Benign
1757702687021,1757702687250,229,rf_confident,0,Benign
1757702687531,1757702687751,220,rf_confident,0,Benign
1757702688036,1757702688252,216,rf_confident,0,Benign
1757702688542,1757702688753,211,rf_confident,0,Benign
1757702689047,1757702689254,207,rf_confident,0,Benign
1757702689552,1757702689754,202,rf_confident,0,Benign
1757702727746,1757702727810,64,rf_confident,0,Benign
1757702728251,1757702728311,60,rf_confident,0,Benign
1757702728757,1757702728812,55,rf_confident,0,Benign
