ts,proc_cpu_percent,proc_rss_mb,sys_cpu_percent
1757699973469,0.0,14.62,0.2
1757699974469,0.0,14.62,3.3
1757699975470,0.0,14.62,29.2
1757699976471,0.0,14.62,0.2
1757699977472,0.0,14.62,2.7
1757699978472,0.0,14.62,29.8
1757699979473,0.0,14.62,1.0
1757699980474,0.0,14.62,2.0
1757699981474,0.0,14.62,30.0
1757699982475,0.0,14.62,0.2
1757699983476,1.0,14.62,1.2
1757699984477,0.0,14.62,31.0
1757699985477,0.0,14.62,1.1
1757699986478,0.0,14.62,0.7
1757699987479,0.0,14.62,32.4
1757699988480,0.0,14.62,0.9
1757699989480,0.0,14.62,0.2
1757699990481,0.0,14.62,31.5
1757699991482,0.0,14.62,2.2
1757699992483,0.0,14.62,0.2
1757699993483,1.0,14.62,30.7
1757699994484,0.0,14.62,3.3
1757699995485,0.0,14.62,0.2
1757699996486,0.0,14.62,30.9
1757699997486,0.0,14.62,2.9
1757699998487,0.0,14.62,0.1
1757699999488,0.0,14.62,29.2
1757700000488,0.0,14.62,4.9
1757700001489,0.0,14.62,0.3
1757700002490,1.0,14.62,28.7
1757700003490,0.0,14.62,4.7
1757700004491,0.0,14.62,0.2
1757700005492,0.0,14.62,27.8
1757700006492,0.0,14.62,5.6
1757700007493,1.0,14.62,1.3
1757700008494,0.0,14.62,22.1
1757700009499,0.0,14.62,12.9
1757700010499,0.0,14.62,0.2
1757700011502,0.0,14.62,19.5
1757700012503,0.0,14.62,12.9
1757700013504,0.0,14.62,0.5
1757700014505,0.0,14.62,10.8
1757700015506,0.0,14.62,22.7
1757700016506,0.0,14.62,0.2
1757700017507,1.0,14.62,7.3
1757700018508,0.0,14.62,25.4
1757700019508,0.0,14.62,0.0
1757700020509,0.0,14.62,3.3
1757700021510,0.0,14.62,32.0
1757700022511,0.0,14.62,0.2
1757700023512,0.0,14.62,2.3
1757700024513,0.0,14.62,30.7
1757700025514,1.0,14.62,0.1
1757700026514,1.0,14.62,1.5
1757700027515,0.0,14.62,32.5
1757700028516,0.0,14.62,0.1
1757700029517,0.0,14.62,1.0
1757700030517,0.0,14.62,31.6
1757700031518,0.0,14.62,0.3
1757700032519,0.0,14.62,0.2
1757700033519,0.0,14.62,32.3
1757700034520,0.0,14.62,1.3
1757700035521,0.0,14.62,0.2
1757700036522,1.0,14.62,30.8
1757700037522,0.0,14.62,2.2
1757700038523,0.0,14.62,0.1
1757700039524,0.0,14.62,30.5
1757700040525,0.0,14.62,4.8
1757700041526,0.0,14.62,0.8
1757700042527,0.0,14.62,29.4
1757700043528,0.0,14.62,5.2
1757700044529,0.0,14.62,0.3
1757700045529,1.0,14.62,28.9
1757700046530,0.0,14.62,6.4
1757700047531,0.0,14.62,0.1
1757700048532,0.0,14.62,28.3
1757700049533,0.0,14.62,6.6
1757700050533,0.0,14.62,0.2
1757700051534,0.0,14.62,27.6
1757700052535,0.0,14.62,6.6
1757700053535,0.0,14.62,0.2
1757700054539,0.0,14.62,19.5
1757700055540,2.0,14.62,15.7
1757700056541,0.0,14.62,1.3
1757700057541,0.0,14.62,2.5
1757700058542,0.0,14.62,31.8
1757700059543,0.0,14.62,4.0
1757700060544,0.0,14.62,1.9
1757700061545,0.0,14.62,31.6
1757700062545,0.0,14.62,1.6
1757700063546,0.0,14.62,0.9
1757700064547,0.0,14.62,31.6
1757700065548,1.0,14.62,1.6
1757700066548,0.0,14.62,0.1
1757700067549,0.0,14.62,32.3
1757700068550,0.0,14.62,1.6
1757700069550,0.0,14.62,0.2
1757700070551,0.0,14.62,31.1
1757700071552,0.0,14.62,2.8
1757700072553,0.0,14.62,0.1
1757700073553,0.0,14.62,30.5
1757700074554,1.0,14.62,5.1
1757700075555,0.0,14.62,0.8
1757700076556,0.0,14.62,29.4
1757700077556,0.0,14.62,5.9
1757700078557,0.0,14.62,0.2
1757700079558,0.0,14.62,28.9
1757700080558,0.0,14.62,4.9
1757700081559,0.0,14.62,1.1
1757700082562,0.0,14.62,28.3
1757700083563,1.0,14.62,6.7
1757700084564,1.0,14.62,0.1
1757700085566,0.0,14.62,26.6
1757700086567,0.0,14.62,7.6
1757700087568,0.0,14.62,0.3
1757700088568,0.0,14.62,13.3
1757700089569,0.0,14.62,22.9
1757700090570,0.0,14.62,0.1
1757700091571,0.0,14.62,13.7
1757700092572,0.0,14.62,21.0
1757700093573,0.0,14.62,0.7
1757700094573,0.0,14.62,8.7
1757700095574,0.0,14.62,24.7
1757700096575,1.0,14.62,0.1
1757700097575,0.0,14.62,3.7
1757700098576,0.0,14.62,31.4
1757700099577,0.0,14.62,0.6
1757700100578,0.0,14.62,2.8
1757700101578,0.0,14.62,32.2
1757700102579,0.0,14.62,0.1
1757700103580,1.0,14.62,1.9
1757700104581,0.0,14.62,31.8
1757700105581,0.0,14.62,1.4
