src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,is_partial,Label
10.128.0.8,10.128.0.5,39520,443,6,0.008843,11,0,2702,3193,1746,54,245.63636363636363,479.0549926161017,0,0,0.0,0.0,666628.9720683026,2148.5921067511026,0.0004912777777777,0.0004369196220963,0.001434,0,0.008843,0.0008843,0.0006574484086223,0.002391,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1243.921746013796,0.0,54,1746,310.2631578947368,470.39589620762536,221272.29916897503,2,3,2,8,15,0,0,0,0.7272727272727273,310.2631578947368,245.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2702,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39532,443,6,0.008278,11,0,2701,3193,1746,54,245.54545454545453,479.0466600231536,0,0,0.0,0.0,712007.7313360715,2295.2403962309736,0.0004598888888888,0.0004173196069213,0.001404,0,0.008278,0.0008278,0.0006327324553079,0.002271,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1328.8233872916162,0.0,54,1746,310.2105263157895,470.3982164022944,221274.48199445973,2,3,2,8,15,0,0,0,0.7272727272727273,310.2105263157895,245.54545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2701,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39536,443,6,0.008449,11,0,2702,3193,1746,54,245.63636363636363,479.0549926161017,0,0,0.0,0.0,697715.7060007101,2248.786838679134,0.0004693888888888,0.0004457387300113,0.001495,0,0.008449,0.0008449,0.0006653147300338,0.00243,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1301.9292223931827,0.0,54,1746,310.2631578947368,470.39589620762536,221272.29916897503,2,3,2,8,15,0,0,0,0.7272727272727273,310.2631578947368,245.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2702,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39538,443,6,0.008788,11,0,2699,3193,1746,54,245.3636363636364,479.0305119770124,0,0,0.0,0.0,670459.7177969959,2162.039144287665,0.0004882222222222,0.0004639671391088,0.001556,0,0.008788,0.0008788,0.000711803175042,0.002642,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1251.706873008648,0.0,54,1746,310.10526315789474,470.4031747494955,221279.14681440443,2,3,2,8,15,0,0,0,0.7272727272727273,310.10526315789474,245.3636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2699,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39542,443,6,0.008622,11,0,2703,3193,1746,54,245.72727272727272,479.063497577037,0,0,0.0,0.0,683832.0575272558,2203.665042913477,0.000479,0.0004524493832954,0.00149,0,0.008622,0.0008621999999999,0.0006383089847401,0.002389,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1275.8060774762237,0.0,54,1746,310.3157894736842,470.3936820010256,221270.21606648204,2,3,2,8,15,0,0,0,0.7272727272727273,310.3157894736842,245.72727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2703,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39544,443,6,0.008525,11,0,2702,3193,1746,54,245.63636363636363,479.0549926161017,0,0,0.0,0.0,691495.6011730206,2228.739002932552,0.0004736111111111,0.0004431186370975,0.001323,0,0.008525,0.0008525,0.000633063701376,0.002332,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1290.3225806451617,0.0,54,1746,310.2631578947368,470.39589620762536,221272.29916897503,2,3,2,8,15,0,0,0,0.7272727272727273,310.2631578947368,245.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2702,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39550,443,6,0.008802,11,0,2707,3193,1746,54,246.0909090909091,479.0992409142684,0,0,0.0,0.0,670302.2040445353,2158.60031810952,0.000489,0.0004228800723083,0.00145,0,0.008802,0.0008802,0.0006871791323956,0.002462,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1249.715973642354,0.0,54,1746,310.5263157894737,470.3858850841791,221262.88088642657,2,3,2,8,15,0,0,0,0.7272727272727273,310.5263157894737,246.0909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2707,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39562,443,6,0.009289,11,0,2709,3193,1746,54,246.27272727272728,479.1181465433212,0,0,0.0,0.0,635375.1749380988,2045.4300785875769,0.0005160555555555,0.0004590155495093,0.001509,0,0.009289,0.0009289,0.000710376301688,0.002595,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1184.1963612875445,0.0,54,1746,310.63157894736844,470.38262258968393,221259.81163434903,2,3,2,8,15,0,0,0,0.7272727272727273,310.63157894736844,246.27272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2709,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39570,443,6,0.009057,11,0,2704,3193,1746,54,245.8181818181818,479.0721748967796,0,0,0.0,0.0,651098.5977696809,2097.824886827868,0.0005031666666666,0.0004405556151043,0.001384,0,0.009057,0.0009057,0.000647118853071,0.002358,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1214.5301976371866,0.0,54,1746,310.3684210526316,470.39157378399176,221268.23268698057,2,3,2,8,15,0,0,0,0.7272727272727273,310.3684210526316,245.8181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2704,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39578,443,6,0.008379,11,0,2701,3177,1746,54,245.54545454545453,479.0466600231536,0,0,0.0,0.0,701515.6939968971,2267.573696145125,0.0004655,0.0004451851362697,0.001384,0,0.008379,0.0008379,0.0006190939266379,0.002292,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1312.8058240840196,0.0,54,1746,309.3684210526316,470.3065305595709,221188.23268698057,2,3,2,8,15,0,0,0,0.7272727272727273,309.3684210526316,245.54545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2701,8,3177,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
