src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,is_partial,Label
92.15.52.190,202.51.233.135,57138,7777,6,1.570763,6,1,1556,690,60,60,60.0,0.0,60,60,60.0,0.0,6195.709115777443,18.256310924237976,0.3385114999999999,0.4693194435599247,1.227081,0,1.34061,0.2681219999999999,0.4791643889885808,1.225115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,20,4.475574551883097,4.344935760124787,120,1228,560.0952380952381,453.0740826693481,104104.56235827664,0,0,0,3,10,0,0,0,0.6666666666666666,560.0952380952381,60.0,60.0,24.0,4.0,207.80120351530368,0.0,0.0,0.0,8,1556,2,690,1151,1151,6,20,0,0,0,0,0,0,0,0,0,Benign
202.51.233.135,92.15.52.190,7777,57138,6,5.039932,38,27,18370,8856,1558,102,451.05263157894734,542.9321440285062,2974,102,283.3333333333333,541.8213454362706,10564.319869399336,40.42695959462362,0.1009677010101009,0.2881917608513179,1.460627,0,2.73012,0.073787027027027,0.2146250891712244,0.868198,0.0,2.130439,0.0819399615384615,0.2366117878454529,0.950346,2.7e-05,38,27,0,0,760,540,13.918802103936825,11.689263022271945,120,4532,520.6506211180124,910.9773860161952,416340.2816611049,0,0,0,69,102,0,0,0,1.8947368421052628,520.6506211180124,451.05263157894734,283.3333333333333,3668.0,8.75,43032.70274233759,970.6666666666666,8.0,44202.24957877321,57,18370,45,8856,1151,1151,38,20,0,0,0,0,0,0,0,0,0,Benign
202.51.233.135,92.15.52.190,7777,57138,6,5.869903000000001,33,26,5332,4192,598,102,131.57575757575756,84.12365728696756,550,102,135.84615384615384,84.81821842926668,3243.0613642120315,28.957156720381185,0.141471663372093,0.3881883825294785,1.646873,0,3.024856,0.0945267499999999,0.2862337755120367,1.002714,0.0,2.841089,0.11364356,0.2931647266049693,1.002717,2.9e-05,33,26,0,0,660,520,10.909610242603284,9.138689097227568,120,1148,223.97450110864747,155.84220504756348,12146.524848697894,0,0,0,60,85,0,0,0,2.066666666666667,223.97450110864747,131.57575757575756,135.84615384615384,624.0,8.0,33693.30453563715,693.3333333333334,8.333333333333334,15319.800842589046,48,5332,37,4192,1149,1151,33,20,0,0,0,0,0,0,0,0,0,Benign
92.15.52.190,202.51.233.135,57138,7777,6,5.003843,14,14,4580,4210,60,60,60.0,0.0,150,60,66.42857142857143,23.17854391369707,3590.629229333764,31.722901564098198,0.1321850263340261,0.3293261289416336,1.645681,0,2.800401,0.2154154615384615,0.3445696436976722,1.004312,0.0,2.016546,0.155118923076923,0.292321370538412,1.003388,0.0,0,1,0,0,280,280,4.999284031108402,6.353695717881387,120,1228,225.17105263157896,175.79072936683096,15688.10758310249,0,0,0,51,78,0,0,0,2.2527472527472527,225.17105263157896,60.0,66.42857142857143,24.0,4.0,8580.622095101895,69.0,4.0,26280.708436488287,40,4580,38,4210,1148,1146,14,20,0,0,0,0,0,0,0,0,0,Benign
92.15.52.190,202.51.233.135,57134,7777,6,5.227511,11,27,5432,4062,118,60,70.54545454545455,22.370287259356232,150,60,75.77777777777777,23.95262814518959,3483.188473143868,34.40757671953338,0.130546367132867,0.3048757262626086,1.411407,0,2.202557,0.2202557,0.3738105662725574,0.962541,0.0,2.547734,0.0979897692307692,0.1287696697074358,0.636794,0.000238,2,9,0,0,220,540,4.99419538291177,8.925755565208595,120,380,203.43725815367603,66.78388395169371,2276.0459529024,0,0,0,67,94,0,0,0,2.129545454545455,203.43725815367603,70.54545454545455,75.77777777777777,24.0,4.0,789.0065093037017,75.0,5.5,164.9395661429652,51,5432,43,4062,1012,1013,11,20,0,0,0,0,0,0,0,0,0,Benign
92.15.52.190,202.51.233.135,57134,7777,6,5.014073,20,16,11316,4872,150,60,70.8,23.515101530718507,150,60,71.25,29.764702249476645,6838.386044140186,40.47264426794644,0.1023280204081631,0.2369896374904662,1.368825,0,2.808424,0.1478117894736842,0.2182829055183539,0.792145,0.0,2.016722,0.1344481333333333,0.2503303293380879,0.954747,0.0,4,2,0,0,400,320,7.121431806593306,7.254100720468215,120,3188,323.76,589.9437071364708,307714.5984,0,0,0,70,100,0,0,0,1.9705882352941173,323.76,70.8,71.25,45.0,4.0,1105.2301948889244,24.0,4.0,312.6200819325132,54,11316,46,4872,1010,1013,20,20,0,0,0,0,0,0,0,0,0,Benign
92.15.52.190,202.51.233.135,57134,7777,6,5.023005,13,15,4518,4546,60,60,60.0,0.0,150,60,66.0,22.44994432064365,3675.229427571402,36.048027502714135,0.1160660190476189,0.2963004740171305,1.58206,0,2.799522,0.2332935,0.351378839715176,1.012404,0.0,2.028153,0.1448680714285714,0.2660110906190793,0.954956,0.000676,0,1,0,0,260,300,4.643649880229553,6.746172558998652,120,348,203.61981799797772,64.61140032480114,2088.71289339458,0,0,0,62,89,0,0,0,2.791563275434243,203.61981799797772,60.0,66.0,24.0,4.0,8865.903213889915,24.0,4.0,169.86460375542327,44,4518,45,4546,1010,1014,13,20,0,0,0,0,0,0,0,0,0,Benign
184.105.247.248,202.51.233.135,39767,87,6,4e-05,2,0,120,54,60,60,60.0,0.0,0,0,0.0,0.0,4350000.0,75000.0,2e-05,2e-05,4e-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,49999.99999999999,0.0,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,120,1,54,65535,0,2,20,0,0,0,0,0,0,0,0,1,Benign
169.254.178.142,202.51.233.135,61912,445,6,1.5e-05,2,0,132,54,66,66,66.0,0.0,0,0,0.0,0.0,12400000.0,200000.0,7.5e-06,7.5e-06,1.5e-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,133333.33333333334,0.0,54,66,62.0,5.656854249492381,32.0,0,2,1,0,1,0,0,2,0.5,62.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,132,1,54,8192,0,0,20,0,0,0,0,0,0,0,0,1,Benign
47.236.239.64,202.51.233.135,58785,8159,6,2.8e-05,2,0,132,54,66,66,66.0,0.0,0,0,0.0,0.0,6642857.142857143,107142.85714285714,1.4e-05,1.4e-05,2.8e-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,71428.57142857143,0.0,54,66,62.0,5.656854249492381,32.0,0,2,1,0,1,0,0,0,0.5,62.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,132,1,54,61690,0,0,20,0,0,0,0,0,0,0,0,1,Benign
202.51.233.1,255.255.255.255,38831,5678,17,0.0,2,0,320,0,160,160,160.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.0,0.0,160,160,160.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,160.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,320,0,0,0,0,2,20,0,0,0,0,0,0,0,0,1,Benign
8.219.153.58,202.51.233.135,60814,80,17,0.0,2,0,120,0,60,60,60.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.0,0.0,60,60,60.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,120,0,0,0,0,2,20,0,0,0,0,0,0,0,0,1,Benign
167.94.138.148,202.51.233.135,53834,8085,6,3e-05,2,0,148,54,74,74,74.0,0.0,0,0,0.0,0.0,6733333.333333333,100000.0,1.5e-05,1.5e-05,3e-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,66666.66666666667,0.0,54,74,67.33333333333333,9.428090415820634,88.8888888888889,0,2,1,0,1,0,0,0,0.5,67.33333333333333,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,148,1,54,42340,0,0,20,0,0,0,0,0,0,0,0,1,Benign
223.167.74.34,202.51.233.135,18911,23,6,3.8e-05,2,0,120,54,60,60,60.0,0.0,0,0,0.0,0.0,4578947.368421053,78947.36842105263,1.9e-05,1.9e-05,3.8e-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,52631.57894736842,0.0,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,120,1,54,28159,0,2,20,0,0,0,0,0,0,0,0,1,Benign
101.36.108.9,202.51.233.135,39792,7181,6,1.6e-05,2,0,120,54,60,60,60.0,0.0,0,0,0.0,0.0,10875000.0,187500.0,8e-06,8e-06,1.6e-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,125000.0,0.0,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,120,1,54,29200,0,2,20,0,0,0,0,0,0,0,0,1,Benign
18.217.194.148,202.51.233.135,60243,8008,6,3.1e-05,2,0,120,54,60,60,60.0,0.0,0,0,0.0,0.0,5612903.225806451,96774.19354838708,1.55e-05,1.55e-05,3.1e-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,64516.12903225806,0.0,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,120,1,54,65535,0,2,20,0,0,0,0,0,0,0,0,1,Benign
204.76.203.83,202.51.233.135,58971,22,6,2.9e-05,2,0,132,54,66,66,66.0,0.0,0,0,0.0,0.0,6413793.103448276,103448.27586206896,1.45e-05,1.45e-05,2.9e-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,68965.5172413793,0.0,54,66,62.0,5.656854249492381,32.0,0,2,1,0,1,0,0,0,0.5,62.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,132,1,54,65535,0,0,20,0,0,0,0,0,0,0,0,1,Benign
152.32.235.107,202.51.233.135,36464,15498,6,3e-05,2,0,120,54,60,60,60.0,0.0,0,0,0.0,0.0,5800000.0,100000.0,1.5e-05,1.5e-05,3e-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,66666.66666666667,0.0,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,120,1,54,1024,0,2,20,0,0,0,0,0,0,0,0,1,Benign
176.65.150.47,202.51.233.135,35291,27241,6,4.2e-05,2,0,120,54,60,60,60.0,0.0,0,0,0.0,0.0,4142857.142857143,71428.57142857143,2.1e-05,2.1e-05,4.2e-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,47619.04761904762,0.0,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,120,1,54,65535,0,2,20,0,0,0,0,0,0,0,0,1,Benign
